ds,y
01-01-2020,27
02-01-2020,27
03-01-2020,44
04-01-2020,44
05-01-2020,59
06-01-2020,59
07-01-2020,59
08-01-2020,59
09-01-2020,59
10-01-2020,59
11-01-2020,59
12-01-2020,59
13-01-2020,60
14-01-2020,60
15-01-2020,61
16-01-2020,61
17-01-2020,66
18-01-2020,83
19-01-2020,219
20-01-2020,239
21-01-2020,392
22-01-2020,534
23-01-2020,631
24-01-2020,897
25-01-2020,1350
26-01-2020,2023
27-01-2020,2820
28-01-2020,4587
29-01-2020,6067
30-01-2020,7823
31-01-2020,9826
01-02-2020,11946
02-02-2020,14554
03-02-2020,17372
04-02-2020,20615
05-02-2020,24522
06-02-2020,28273
07-02-2020,31491
08-02-2020,34933
09-02-2020,37552
10-02-2020,40540
11-02-2020,43105
12-02-2020,45177
13-02-2020,60328
14-02-2020,64543
15-02-2020,67103
16-02-2020,69265
17-02-2020,71332
18-02-2020,73327
19-02-2020,75191
20-02-2020,75723
21-02-2020,76719
22-02-2020,77804
23-02-2020,78812
24-02-2020,79339
25-02-2020,80132
26-02-2020,80995
27-02-2020,82101
28-02-2020,83365
29-02-2020,85203
01-03-2020,87026
02-03-2020,89068
03-03-2020,90865
04-03-2020,93077
05-03-2020,95316
06-03-2020,98172
07-03-2020,102133
08-03-2020,105824
09-03-2020,109695
10-03-2020,114235
11-03-2020,118613
12-03-2020,125497
13-03-2020,133853
14-03-2020,143259
15-03-2020,154774
16-03-2020,167418
17-03-2020,180094
18-03-2020,194843
19-03-2020,213149
20-03-2020,242374
21-03-2020,271116
22-03-2020,305235
23-03-2020,338235
24-03-2020,377968
25-03-2020,416881
26-03-2020,468092
27-03-2020,527839
28-03-2020,591796
29-03-2020,656834
30-03-2020,715377
31-03-2020,777187
01-04-2020,851587
02-04-2020,928491
03-04-2020,1006063
04-04-2020,1087822
05-04-2020,1174306
06-04-2020,1245601
07-04-2020,1316988
08-04-2020,1391881
09-04-2020,1476792
10-04-2020,1563819
11-04-2020,1653160
12-04-2020,1734868
13-04-2020,1807256
14-04-2020,1873639
15-04-2020,1953786
16-04-2020,2033745
17-04-2020,2117297
18-04-2020,2199460
19-04-2020,2278484
20-04-2020,2350993
21-04-2020,2427353
22-04-2020,2513399
23-04-2020,2579823
24-04-2020,2657910
25-04-2020,2731217
26-04-2020,2832750
27-04-2020,2915977
28-04-2020,2981542
29-04-2020,3054404
30-04-2020,3131487
01-05-2020,3215927
02-05-2020,3308891
03-05-2020,3389459
04-05-2020,3467502
05-05-2020,3544168
06-05-2020,3623803
07-05-2020,3715414
08-05-2020,3809599
09-05-2020,3899738
10-05-2020,3989894
11-05-2020,4066883
12-05-2020,4137915
13-05-2020,4223701
14-05-2020,4309652
15-05-2020,4406317
16-05-2020,4504351
17-05-2020,4598546
18-05-2020,4679511
