BED AVAILABILITY STATUS OF GOVERNMENT DESIGNATED
COVID HOSPITALS AS ON 02.07.2020
Vacant
Sr no District Name of CoVid Hospital Total Beds
Beds
1 State level M R Bangur DH & SSH 670 383
2 State level CNCI 400 222
3 State level AMRI Salt Lake 61 4
"4 State level Desun Hospital, Kolkata 95 1"
5 State level ID BG 115 23
6 State level KPC Medical College 200 50
7 State level Kolkata Medical College 500 136
"Integrated Ayush (COVID 19) Hospital,"
8 Alipurduar 100 45
Tapsikhata
9 Bankura Onda SSH 250 220
10 Bankura Medicare General Hospital (NH) 54 54
"11 Birbhum Glocal Hospital, Birbhum 50 44"
RMYF Royal Nursing Home &
12 Birbhum 50 45
Diagnostic Centre
13 Birbhum Madhumamata Lodge 150 150
14 Coochbehar Cooch Behar Mission Hospital 120 115
15 Dakshin Dinajpur Prayas Atreyi Eye Hospital 20 20
16 Darjeeling Chang Hospital 100 72
17 Darjeeling Desun CoVid Hospital 160 136
18 Darjeeling Medica Hospital 110 110
19 Darjeeling Medica Cancer Hospital 50 50
Sr no,District,Name of CoVid Hospital,Total Beds,"VacantBeds"
20,Darjeeling,Nivedita Cancer Hospital,64,64
21,Hooghly,Shramajibi Hospital,100,28
22,Hooghly,"ESI Hospital, Bandel",250,238
23,Hooghly,Blue View Nursing Home,30,29
24,Hooghly,Seven Rangers,90,90
25,Hooghly,Kamala Roy,50,50
26,Hooghly,Arambagh Nursing Home,30,30
27,Hooghly,"ESI Hospital, Gourhati",216,216
28,Howrah,Sanjiban Hospital,300,163
29,Howrah,"ILS, Golabari",88,9
30,Howrah,Satyabala IDH,25,7
31,Howrah,"ESI Hospital, Baltikuri",230,193
32,Howrah,Uluberia ESI Hospital,216,148
33,Howrah,"Narayana Hospital Old Building, WestBank Hospital",130,118
34,Howrah,TLJ Hospital,250,250
35,Jalpaiguri,Biswabangla Krirangan,200,184
36,Jalpaiguri,Agrasen Hospital,41,41
37,Jhargram,Jhargram Night Shelter,75,75
38,Kalimpong,Triveni Hospital,150,150
39,Malda,"EHC Glocal Hospital, Malda",100,64
40,Malda,"Dishari Nursing Home, Chanchal",30,30
41,Malda,"Manikchak Model School,Manikchak",50,45
Sr no,District,Name of CoVid Hospital,Total Beds,"VacantBeds"
42,Murshidabad,Old Matri Sadan Hospital,100,68
43,Murshidabad,Monmohini Private Health Care,100,100
44,Murshidabad,Gitaram Private Hospital,100,100
45,Murshidabad,Lalbagh Rainbow Nursshing Home,50,50
46,Murshidabad,Basumati Healthcare Private Ltd,50,50
47,Murshidabad,Khristio Seba Sadan,100,100
48,Nadia,SNR carnival Hospital,120,108
49,Nadia,"Glocal Hospital, Nadia",150,125
50,Nadia,"T B Hospital, Kalyani",300,300
51,North 24 Pgs,Al Amin Gopalpur Nursing Home,50,28
52,North 24 Pgs,GNRC,80,17
53,North 24 Pgs,Nehru Memorial Techno Global,134,98
54,North 24 Pgs,Bibhuti Nursing Home,10,10
55,North 24 Pgs,Subodh Mitra Cancer Hospital,40,40
56,North 24 Pgs,COM & Sagar Datta Hospital,500,473
57,Paschim Bardhaman,Sanaka Hospital,400,385
58,Paschim Bardhaman,HLG Hospitals,100,100
59,Paschim Medinipur,St. Joseph Hospital,100,100
60,Paschim Medinipur,"AYUSH Corona Hospital, PaschimMedinipore",50,41
61,Paschim Medinipur,"Glocal Corona Hospital, PaschimMedinipore",50,50
62,Paschim Medinipur,Salboni SSH,150,130
63,Purba Burdwan,Camri Hospital,120,102
Sr no,District,Name of CoVid Hospital,Total Beds,"VacantBeds"
64,Purba Burdwan,Bengal Medica Hospital,100,100
65,Purba Mednipur,Chandipur Multi Speciality Hospital,100,29
66,Purba Mednipur,R C N Sanjiban Hospital,50,50
67,Purba Mednipur,Baroma Multi speciality Hospital,180,146
68,Purulia,"Rotary Club of Purulia Service Centre -Nursing home",60,53
69,Purulia,R Singhania Seva pratishtan Hospital,60,60
70,South 24 Parganas,ESIC Medical College and Hospital,470,382
71,South 24 Parganas,The Saharahat NH,120,120
72,South 24 Parganas,Maa Durga NH,50,50
73,South 24 Parganas,Canning Covid Hospital (Stadium),55,44
74,South 24 Parganas,Bharat Sevashram Sangha,100,100
75,South 24 Parganas,"Jagannath Gupta Medical College &Hospital",100,100
76,South 24 Parganas,Ispat Cooperative Hospital,125,125
77,Uttar Dinajpur,Mikki Megha Hospital,50,21
78,Uttar Dinajpur,Jeevan Rekha Nursing Home,45,45
Grand Total,10489,8102,,
